draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2024,1,1,Chicago Bears,Caleb Williams,QB,16579,"Williams, Caleb"
2024,1,2,Washington Commanders,Jayden Daniels,QB,16581,"Daniels, Jayden"
2024,1,3,New England Patriots,Drake Maye,QB,16580,"Maye, Drake"
2024,1,4,Arizona Cardinals,Marvin Harrison Jr.,WR,16614,"Harrison Jr., Marvin"
2024,1,6,New York Giants,Malik Nabers,WR,16615,"Nabers, Malik"
2024,1,8,Atlanta Falcons,Michael Penix Jr.,QB,16583,"Penix Jr., Michael"
2024,1,9,Chicago Bears,Rome Odunze,WR,16616,"Odunze, Rome"
2024,1,10,Minnesota Vikings,J. J. McCarthy,QB,16584,"McCarthy, J.J."
2024,1,12,Denver Broncos,Bo Nix,QB,16582,"Nix, Bo"
2024,1,13,Las Vegas Raiders,Brock Bowers,TE,16641,"Bowers, Brock"
2024,1,23,Jacksonville Jaguars,Brian Thomas Jr.,WR,16618,"Thomas Jr., Brian"
2024,1,28,Kansas City Chiefs,Xavier Worthy,WR,16620,"Worthy, Xavier"
2024,1,31,San Francisco 49ers,Ricky Pearsall,WR,16622,"Pearsall, Ricky"
2024,1,32,Carolina Panthers,Xavier Legette,WR,16639,"Legette, Xavier"
2024,2,33,Buffalo Bills,Keon Coleman,WR,16617,"Coleman, Keon"
2024,2,34,Los Angeles Chargers,Ladd McConkey,WR,16627,"McConkey, Ladd"
2024,2,37,New England Patriots,Ja'Lynn Polk,WR,16631,"Polk, Ja'Lynn"
2024,2,46,Carolina Panthers,Jonathon Brooks,RB,16597,"Brooks, Jonathon"
2024,2,52,Indianapolis Colts,Adonai Mitchell,WR,16626,"Mitchell, Adonai"
2024,2,53,Washington Commanders,Ben Sinnott,TE,16644,"Sinnott, Ben"
2024,3,65,New York Jets,Malachi Corley,WR,16636,"Corley, Malachi"
2024,3,66,Arizona Cardinals,Trey Benson,RB,16594,"Benson, Trey"
2024,3,80,Cincinnati Bengals,Jermaine Burton,WR,16632,"Burton, Jermaine"
2024,3,82,Arizona Cardinals,Tip Reiman,TE,16706,"Reiman, Tip"
2024,3,83,Los Angeles Rams,Blake Corum,RB,16593,"Corum, Blake"
2024,3,84,Pittsburgh Steelers,Roman Wilson,WR,16629,"Wilson, Roman"
2024,3,88,Green Bay Packers,MarShawn Lloyd,RB,16604,"Lloyd, MarShawn"
2024,3,92,Tampa Bay Buccaneers,Jalen McMillan,WR,16628,"McMillan, Jalen"
2024,3,100,Washington Commanders,Luke McCaffrey,WR,16635,"McCaffrey, Luke"
2024,4,101,Carolina Panthers,Ja'Tavion Sanders,TE,16643,"Sanders, Ja'Tavion"
2024,4,102,Denver Broncos,Troy Franklin,WR,16619,"Franklin, Troy"
2024,4,107,New York Giants,Theo Johnson,TE,16649,"Johnson, Theo"
2024,4,110,New England Patriots,Javon Baker,WR,16637,"Baker, Javon"
2024,4,113,Baltimore Ravens,Devontez Walker,WR,16621,"Walker, Devontez"
2024,4,115,Cincinnati Bengals,Erick All,TE,16645,"All, Erick"
2024,4,120,Miami Dolphins,Jaylen Wright,RB,16610,"Wright, Jaylen"
2024,4,121,Seattle Seahawks,AJ Barner,TE,16723,"Barner, AJ"
2024,4,123,Houston Texans,Cade Stover,TE,16642,"Stover, Cade"
2024,4,125,Tampa Bay Buccaneers,Bucky Irving,RB,16598,"Irving, Bucky"
2024,4,127,Philadelphia Eagles,Will Shipley,RB,16601,"Shipley, Will"
2024,4,128,Buffalo Bills,Ray Davis,RB,16603,"Davis, Ray"
2024,4,129,San Francisco 49ers,Isaac Guerendo,RB,16688,"Guerendo, Isaac"
2024,4,131,Kansas City Chiefs,Jared Wiley,TE,16648,"Wiley, Jared"
2024,4,132,Detroit Lions,Sione Vaki,RB,16678,"Vaki, Sione"
2024,4,134,New York Jets,Braelon Allen,RB,16596,"Allen, Braelon"
2024,4,135,San Francisco 49ers,Jacob Cowing,WR,16640,"Cowing, Jacob"
2024,5,142,Indianapolis Colts,Anthony Gould,WR,16732,"Gould, Anthony"
2024,5,147,Denver Broncos,Audric Estimé,RB,16595,"Estime, Audric"
2024,5,150,New Orleans Saints,Spencer Rattler,QB,16586,"Rattler, Spencer"
2024,5,152,Philadelphia Eagles,Ainias Smith,WR,16686,"Smith, Ainias"
2024,5,156,Cleveland Browns,Jamari Thrash,WR,16624,"Thrash, Jamari"
2024,5,165,Baltimore Ravens,Rasheen Ali,RB,16746,"Ali, Rasheen"
2024,5,166,New York Giants,Tyrone Tracy Jr.,RB,16747,"Tracy, Tyrone"
2024,5,167,Jacksonville Jaguars,Keilan Robinson,RB,16748,"Robinson, Keilan"
2024,5,170,New Orleans Saints,Bub Means,WR,16751,"Means, Bub"
2024,5,171,New York Jets,Jordan Travis,QB,16589,"Travis, Jordan"
2024,5,173,New York Jets,Isaiah Davis,RB,16752,"Davis, Isaiah"
2024,6,181,Los Angeles Chargers,Kimani Vidal,RB,16757,"Vidal, Kimani"
2024,6,182,Tennessee Titans,Jha'Quan Jackson,WR,16758,"Jackson, Jha'Quan"
2024,6,184,Miami Dolphins,Malik Washington,WR,16684,"Washington, Malik"
2024,6,185,Philadelphia Eagles,Johnny Wilson,WR,16625,"Wilson, Johnny"
2024,6,186,Atlanta Falcons,Jase McClellan,RB,16605,"McClellan, Jase"
2024,6,187,Atlanta Falcons,Casey Washington,WR,16760,"Washington, Casey"
2024,6,191,Arizona Cardinals,Tejhaun Palmer,WR,16763,"Palmer, Tejhaun"
2024,6,193,New England Patriots,Joe Milton,QB,16585,"Milton, Joe"
2024,6,194,Cincinnati Bengals,Tanner McLachlan,TE,16765,"McLachlan, Tanner"
2024,6,205,Houston Texans,Jawhar Jordan,RB,16773,"Jordan, Jawhar"
2024,6,208,Las Vegas Raiders,Dylan Laube,RB,16613,"Laube, Dylan"
2024,6,213,Los Angeles Rams,Jordan Whittington,WR,16633,"Whittington, Jordan"
2024,6,216,Dallas Cowboys,Ryan Flournoy,WR,16778,"Flournoy, Ryan"
2024,6,218,Baltimore Ravens,Devin Leary,QB,16591,"Leary, Devin"
2024,7,225,Los Angeles Chargers,Brenden Rice,WR,16623,"Rice, Brenden"
2024,7,231,New England Patriots,Jaheim Bell,TE,16646,"Bell, Jaheim"
2024,7,235,Denver Broncos,Devaughn Vele,WR,16788,"Vele, Devaughn"
2024,7,241,Miami Dolphins,Tahj Washington,WR,16792,"Washington, Tahj"
