mfl_id,name,position,team,nflverse_name,draft_year,draft_round,draft_pick,draft_team,is_udfa,source
17523,"Caldwell, Jeff",WR,KCC,Jeff Caldwell,2026,,,,1,nflverse
17491,"Connors, Dean",RB,LAR,Dean Connors,2026,,,,1,nflverse
17469,"Daniels, Jalon",QB,TBB,Jalon Daniels,2026,,,,1,nflverse
17492,"Donaldson, CJ",RB,NOS,CJ Donaldson,2026,,,,1,nflverse
17720,"Gronowski, Mark",QB,MIA,Mark Gronowski,2026,,,,1,nflverse
17710,"Gyllenborg, John Michael",TE,KCC,John Michael Gyllenborg,2026,,,,1,nflverse
17719,"Haynes, Jamal",RB,CIN,Jamal Haynes,2026,,,,1,nflverse
17483,"Hemby, Roman",RB,LVR,Roman Hemby,2026,,,,1,nflverse
17709,"Henry, Robert",RB,WAS,Robert Henry Jr.,2026,,,,1,nflverse
17713,"King, Haynes",QB,CAR,Haynes King,2026,,,,1,nflverse
17718,"Montgomery, Myles",RB,NEP,Myles Montgomery,2026,,,,1,nflverse
17480,"Ott, Jaydn",RB,KCC,Jaydn Ott,2026,,,,1,nflverse
17515,"Rivers, Eric",WR,TBB,Eric Rivers Jr.,2026,,,,1,nflverse
17522,"Roberts, Chase",WR,LVR,Chase Roberts,2026,,,,1,nflverse
17487,"Taylor, J'Mari",RB,JAC,J'Mari Taylor,2026,,,,1,nflverse
17489,"Trayanum, Chip",RB,NYJ,Chip Trayanum,2026,,,,1,nflverse
17546,"Trigg, Michael",TE,DAL,Michael Trigg,2026,,,,1,nflverse
17490,"Whittington, Noah",RB,HOU,Noah Whittington,2026,,,,1,nflverse
17273,"Williams, Mario",WR,FA,Mario Williams,2026,,,,1,nflverse
17074,"Hunter, Travis",WR,JAC,Travis Hunter,2025,1.0,2.0,JAX,0,nflverse
17215,"Ouzts, Robbie",RB,SEA,Robbie Ouzts,2025,5.0,175.0,SEA,0,nflverse
17276,"Armstrong, Andrew",WR,KCC,Andrew Armstrong,2025,,,,1,nflverse
17307,"Bentley, Ulysses",RB,IND,Ulysses Bentley IV,2025,,,,1,nflverse
17076,"Bond, Isaiah",WR,CLE,Isaiah Bond,2025,,,,1,nflverse
17268,"Briningstool, Jake",TE,KCC,Jake Briningstool,2025,,,,1,nflverse
17091,"Brooks, Ja'Corey",WR,FA,Ja'Corey Brooks,2025,,,,1,nflverse
17282,"Brosmer, Max",QB,MIN,Max Brosmer,2025,,,,1,nflverse
17269,"Chism, Efton",WR,NEP,Efton Chism III,2025,,,,1,nflverse
17303,"Collins, Beaux",WR,ATL,Beaux Collins,2025,,,,1,nflverse
17284,"Conyers, Jalin",TE,FA,Jalin Conyers,2025,,,,1,nflverse
17040,"Cook, Brady",QB,NYJ,Brady Cook,2025,,,,1,nflverse
17333,"Cooper, Darius",WR,PHI,Darius Cooper,2025,,,,1,nflverse
17294,"Dekkers, Hunter",QB,NOS,Hunter Dekkers,2025,,,,1,nflverse
17057,"Edwards, Donovan",RB,MIA,Donovan Edwards,2025,,,,1,nflverse
17329,"Jackson, Ja'Quinden",RB,PHI,Ja'Quinden Jackson,2025,,,,1,nflverse
17272,"Johnson, Amar",RB,LAC,Amar Johnson,2025,,,,1,nflverse
17266,"Johnson, Montrell",RB,FA,Montrell Johnson Jr.,2025,,,,1,nflverse
17274,"Kiner, Corey",RB,ARI,Corey Kiner,2025,,,,1,nflverse
17267,"Larison, Lan",RB,NEP,Lan Larison,2025,,,,1,nflverse
17334,"Meeks, Jackson",WR,DET,Jackson Meeks,2025,,,,1,nflverse
17100,"Nash, Nick",WR,WAS,Nick Nash,2025,,,,1,nflverse
17275,"Neyor, Isaiah",WR,GBP,Isaiah Neyor,2025,,,,1,nflverse
17360,"Price, Myles",WR,MIN,Myles Price,2025,,,,1,nflverse
17077,"Restrepo, Xavier",WR,TEN,Xavier Restrepo,2025,,,,1,nflverse
17062,"Sanders, Raheim",RB,CLE,Raheim Sanders,2025,,,,1,nflverse
17312,"Simon, Joshua",TE,ATL,Joshua Simon,2025,,,,1,nflverse
17308,"Uiagalelei, DJ",QB,LAC,DJ Uiagalelei,2025,,,,1,nflverse
17353,"Walker, Jahdae",WR,CHI,Jahdae Walker,2025,,,,1,nflverse
17088,"Wease, Theo",WR,MIA,Theo Wease Jr.,2025,,,,1,nflverse
17089,"Wells, Antwane",WR,ATL,Antwane Wells Jr.,2025,,,,1,nflverse
17359,"Williams, Josh",RB,TBB,Josh Williams,2025,,,,1,nflverse
17382,"Wright, Jacardia",RB,SEA,Jacardia Wright,2025,,,,1,nflverse
16611,"Bailey, Emani",RB,FA,Emani Bailey,2024,,,,1,nflverse
16816,"Brooks, British",RB,HOU,British Brooks,2024,,,,1,nflverse
16809,"Coker, Jalen",WR,CAR,Jalen Coker,2024,,,,1,nflverse
16979,"Grandy, Cam",TE,CIN,Cam Grandy,2024,,,,1,nflverse
16587,"Hartman, Sam",QB,WAS,Sam Hartman,2024,,,,1,nflverse
16608,"Holani, George",RB,SEA,George Holani,2024,,,,1,nflverse
16957,"Jennings, Terrell",RB,FA,Terrell Jennings,2024,,,,1,nflverse
16883,"Johnson, Kameron",WR,TBB,Kameron Johnson,2024,,,,1,nflverse
16868,"Martinez, Adrian",QB,SFO,Adrian Martinez,2024,,,,1,nflverse
16687,"Miller, Dante",RB,FA,Dante Miller,2024,,,,1,nflverse
16606,"Milton, Kendall",RB,CIN,Kendall Milton,2024,,,,1,nflverse
16975,"Oliver, Bryce",WR,TEN,Bryce Oliver,2024,,,,1,nflverse
16600,"Schrader, Cody",RB,DEN,Cody Schrader,2024,,,,1,nflverse
16647,"Spann-Ford, Brevyn",TE,DAL,Brevyn Spann-Ford,2024,,,,1,nflverse
16612,"Steele, Carson",RB,PHI,Carson Steele,2024,,,,1,nflverse
16858,"Tipton, Mason",WR,NOS,Mason Tipton,2024,,,,1,nflverse
16803,"Watson, Blake",RB,FA,Blake Watson,2024,,,,1,nflverse
16634,"Weaver, Xavier",WR,ARI,Xavier Weaver,2024,,,,1,nflverse
16871,"Wheeler, Ian",RB,BUF,Ian Wheeler,2024,,,,1,nflverse
16898,"Yankoff, Colson",TE,WAS,Colson Yankoff,2024,,,,1,nflverse
16474,"Adkins, Nate",TE,DEN,Nate Adkins,2023,,,,1,nflverse
16384,"Bagent, Tyson",QB,CHI,Tyson Bagent,2023,,,,1,nflverse
16393,"Bobo, Jake",WR,SEA,Jake Bobo,2023,,,,1,nflverse
16387,"Brooks, Chris",RB,GBP,Chris Brooks,2023,,,,1,nflverse
16423,"Brownlee, Jason",WR,KCC,Jason Brownlee,2023,,,,1,nflverse
16441,"DeVito, Tommy",QB,NEP,Tommy DeVito,2023,,,,1,nflverse
16385,"Demercado, Emari",RB,KCC,Emari Demercado,2023,,,,1,nflverse
16379,"Ford-Wheaton, Bryce",WR,NYG,Bryce Ford-Wheaton,2023,,,,1,nflverse
16416,"Gipson, Xavier",WR,NYG,Xavier Gipson,2023,,,,1,nflverse
16413,"Heath, Malik",WR,ATL,Malik Heath,2023,,,,1,nflverse
16425,"Hill, Julian",TE,NEP,Julian Hill,2023,,,,1,nflverse
16198,"Jarrett, Rakim",WR,PIT,Rakim Jarrett,2023,,,,1,nflverse
16391,"Luepke, Hunter",RB,DAL,Hunter Luepke,2023,,,,1,nflverse
16390,"McLaughlin, Jaleel",RB,DEN,Jaleel McLaughlin,2023,,,,1,nflverse
16958,"Miller, Ryan",WR,NYG,Ryan Miller,2023,,,,1,nflverse
16424,"Mims, Jordan",RB,FA,Jordan Mims,2023,,,,1,nflverse
16178,"Mitchell, Keaton",RB,LAC,Keaton Mitchell,2023,,,,1,nflverse
16380,"Prince, Deneric",RB,NEP,Deneric Prince,2023,,,,1,nflverse
16422,"Remigio, Nikko",WR,KCC,Nikko Remigio,2023,,,,1,nflverse
16850,"Saylors, Jacob",RB,DET,Jacob Saylors,2023,,,,1,nflverse
17337,"Scott, Zavier",RB,MIN,Zavier Scott,2023,,,,1,nflverse
16451,"Shavers, Tyrell",WR,BUF,Tyrell Shavers,2023,,,,1,nflverse
16403,"Tinsley, Mitchell",WR,CIN,Mitchell Tinsley,2023,,,,1,nflverse
16949,"Tremayne, Brycen",WR,CAR,Brycen Tremayne,2023,,,,1,nflverse
16166,"Tucker, Sean",RB,TBB,Sean Tucker,2023,,,,1,nflverse
16940,"Whiteheart, Blake",TE,CLE,Blake Whiteheart,2023,,,,1,nflverse
16432,"Wilson, Emanuel",RB,SEA,Emanuel Wilson,2023,,,,1,nflverse
